Tiempo_s,COM4_uV,COM7_uV
0.0,3.164135620181696e-15,-1.438849039914203e-13
0.004,-4.408617250248528,-12.94106734468943
0.008,-5.098858136749833,-33.75344075895886
0.012,-4.671183082056816,-38.53311832880054
0.016,-5.911592800467007,-20.418410546149254
0.02,-7.336027023815718,-10.659597913680038
0.024,-8.194123678974234,-23.718575979469435
0.028,-10.080548101226862,-37.01001729879398
0.032,-12.147450634556819,-31.18249388337668
0.036,-11.416813676283269,-12.502159624769341
0.04,-8.878940525381648,-1.2090799775675345
0.044,-9.169360320018782,-10.509945259673788
0.048,-12.37375567567367,-29.163171902692344
0.052,-13.657798940570682,-33.12326591526487
0.056,-12.370919787993358,-18.56880699843788
0.06,-11.854114774679044,-6.53856221444396
0.064,-11.993319578007256,-13.308594291489243
0.068,-11.640850848280364,-28.521971575866623
0.072,-12.141278871994597,-28.317314455272438
0.076,-12.724860189314988,-9.730665570237509
0.08,-12.113865800601294,1.7432525194670712
0.084,-12.67214427575608,-10.928928784156021
0.088,-14.394582117371858,-30.88072924026772
0.092,-14.287607815745067,-32.88824764310087
0.096,-13.549285621465085,-17.60438445876422
0.1,-13.542433429083404,-7.17051588934395
0.104,-12.262878798918772,-14.160804560299777
0.108,-11.715688957471977,-26.816175890074682
0.112,-14.301196713796687,-28.193447063610098
0.116,-15.401519872106883,-18.23131692806571
0.12,-13.601193210692145,-11.185147269746107
0.124,-14.189398281076155,-20.23423309828113
0.128,-16.235400883966868,-39.81419373736419
0.132,-15.2781746514177,-43.94865794002059
0.136,-14.47637091979652,-23.69240618051276
0.14,-16.40244535514968,-8.95242853978299
0.144,-16.190036691572875,-20.36089118678877
0.148,-12.570705418406293,-35.03285391965808
0.152,-11.16325630692329,-30.77989813736518
0.156,-14.000812488092915,-18.273132099236896
0.16,-16.802539353784567,-13.733597409782604
0.164,-16.229824176400783,-20.692801706327927
0.168,-14.160535613659365,-33.999421417332236
0.172,-14.357360980320577,-38.76651760899727
0.176,-16.863063517378798,-27.503090503896303
0.18,-18.446171796200897,-18.15655160887675
0.184,-17.75231770344982,-25.53932710397631
0.188,-16.52671616324988,-35.508095437987556
0.192,-16.797057480481996,-32.692311167135244
0.196,-18.54084986294419,-22.144834958296983
0.2,-19.25271434152154,-13.68960320101884
0.204,-17.178558475516194,-15.487271659123934
0.208,-14.564169492335424,-29.939721067647653
0.212,-14.07628135443387,-37.5316827417621
0.216,-14.390715192053229,-20.964698271590713
0.22,-13.251045812258907,-2.992465751358448
0.224,-11.763036440043475,-11.209885996622987
0.228,-12.290702602985991,-29.688122967655563
0.232,-13.827718875816327,-30.333579530034132
0.236,-12.819852566241856,-14.964559387407148
0.24,-9.634922552433725,-3.013563273234676
0.244,-9.611263786640931,-8.752830132666363
0.248,-14.085318265781982,-27.07881413657418
0.252,-17.181279743825556,-34.35476496811171
0.256,-15.98744510163834,-23.168864902273768
0.26,-15.12655436617369,-14.118157880295035
0.264,-17.186818915572836,-16.8159425180934
0.268,-18.310807381004146,-19.467001665777023
0.272,-16.680256521305896,-15.947754812158994
0.276,-15.949568140698062,-8.678763176441615
0.28,-17.131677469239243,-2.8429902332836967
0.284,-16.021354244751983,-5.973515863224532
0.288,-12.35941146923036,-13.000580455734642
0.292,-12.4172519091584,-12.082206808778572
0.296,-17.49510512285576,-9.239022822538683
0.3,-20.07741740706373,-13.977401796796075
0.304,-17.040968148075507,-20.51628086342213
0.308,-15.067751689936374,-24.54413867290462
0.312,-17.543871085006757,-24.442789438580313
0.316,-18.75899031495936,-13.675478099214304
0.32,-15.60053859544203,-1.9009062256538547
0.324,-12.70099911552508,-7.908473190850511
0.328,-13.037543913337068,-22.07697467581553
0.332,-14.297448642619774,-21.943259027409468
0.336,-14.963271584927828,-10.687093490957883
0.34,-15.074005314524737,-4.612117962434296
0.344,-13.574070085102116,-8.716505021651383
0.348,-11.332755726715181,-17.57962372117182
0.352,-11.385823787294001,-20.012008948148186
0.356,-13.175318341867808,-11.071429280531254
0.36,-13.523035029631945,-4.412519347854656
0.364,-12.161441569467197,-12.757631159675682
0.368,-10.304744629783286,-24.69305519249508
0.372,-8.800289888703151,-22.48854352941815
0.376,-9.634150025153762,-10.589989769545403
0.38,-12.321723799234775,-7.277204579581323
0.384,-12.528182770590625,-15.51585769097528
0.388,-10.513962361335842,-20.629449665369364
0.392,-11.356762647354465,-15.33386166138805
0.396,-14.266071447393731,-7.756662929938032
0.4,-14.506557273073675,-5.352070207786435
0.404,-13.20025787329621,-7.856617385753587
0.408,-12.972505147222577,-11.188923331639918
0.412,-12.116348100785547,-9.831384455605034
0.416,-11.19876391460825,-4.166627725822168
0.42,-13.43442425488335,-2.688135983144768
0.424,-16.40809766216612,-8.815393397300271
0.428,-15.57015687591257,-14.968981320876011
0.432,-12.508009396359796,-12.319699770118813
0.436,-10.73163655843622,-0.5398961277540497
0.44,-10.249217556657314,8.664581637649096
0.444,-10.62001707270506,2.791542220784354
0.448,-11.607094244326536,-11.046218968227613
0.452,-11.442997324502993,-13.569545099009282
0.456,-10.427757123972357,-3.42858899022794
0.46,-11.32992459908132,2.418377482917343
0.464,-13.093018119128597,-3.636662324435278
0.468,-11.893194268329546,-11.749071380238814
0.472,-9.048186151741936,-12.219731283327935
0.476,-8.781569374077417,-7.844130981023813
0.48,-10.258013126010455,-6.297365154913161
0.484,-10.911747155878379,-8.659287002374443
0.488,-12.097115793999198,-11.771177034038027
0.492,-13.458357904972242,-12.677325583337058
0.496,-10.899377026954006,-7.194859770103676
0.5,-6.031149937333026,1.6027582143602466
0.504,-5.810493768597606,-0.19427403578071178
